timestamp,aqi,pm2_5,pm10,no2,o3,co,so2
2025-01-23 23:02:34,5,94.08,124.76,9.43,134.47,627.52,27.9
2025-01-23 23:03:04,5,96.98,128.47,14.05,128.75,660.9,48.64
2025-01-23 23:03:34,5,96.98,128.47,14.05,128.75,660.9,48.64
2025-01-23 23:04:04,5,96.98,128.47,14.05,128.75,660.9,48.64
2025-01-23 23:04:34,5,96.98,128.47,14.05,128.75,660.9,48.64
2025-01-23 23:05:17,5,94.08,124.76,9.43,134.47,627.52,27.9
2025-01-23 23:05:47,5,94.08,124.76,9.43,134.47,627.52,27.9
2025-01-23 23:06:17,5,94.08,124.76,9.43,134.47,627.52,27.9
2025-01-23 23:06:47,5,94.08,124.76,9.43,134.47,627.52,27.9
2025-01-23 23:07:17,5,94.08,124.76,9.43,134.47,627.52,27.9
2025-01-23 23:07:47,5,94.08,124.76,9.43,134.47,627.52,27.9
2025-01-23 23:08:33,5,94.08,124.76,9.43,134.47,627.52,27.9
2025-01-23 23:09:03,5,94.08,124.76,9.43,134.47,627.52,27.9
2025-01-23 23:09:33,5,94.08,124.76,9.43,134.47,627.52,27.9
2025-01-23 23:10:03,5,94.08,124.76,9.43,134.47,627.52,27.9
2025-01-23 23:10:33,5,94.08,124.76,9.43,134.47,627.52,27.9
2025-01-23 23:11:03,5,94.08,124.76,9.43,134.47,627.52,27.9
2025-01-23 23:11:35,5,94.08,124.76,9.43,134.47,627.52,27.9
2025-01-23 23:12:05,5,94.08,124.76,9.43,134.47,627.52,27.9
2025-01-23 23:12:35,5,94.08,124.76,9.43,134.47,627.52,27.9
2025-01-23 23:13:05,5,94.08,124.76,9.43,134.47,627.52,27.9
2025-01-23 23:13:35,5,94.08,124.76,9.43,134.47,627.52,27.9
2025-01-23 23:14:06,5,94.08,124.76,9.43,134.47,627.52,27.9
2025-01-23 23:14:36,5,94.08,124.76,9.43,134.47,627.52,27.9
2025-01-23 23:15:06,5,94.08,124.76,9.43,134.47,627.52,27.9
2025-01-23 23:15:43,5,94.08,124.76,9.43,134.47,627.52,27.9
2025-01-23 23:16:18,5,94.08,124.76,9.43,134.47,627.52,27.9
2025-01-23 23:16:49,5,94.08,124.76,9.43,134.47,627.52,27.9
2025-01-23 23:17:19,5,94.08,124.76,9.43,134.47,627.52,27.9
2025-01-23 23:17:49,5,94.08,124.76,9.43,134.47,627.52,27.9
2025-01-23 23:18:19,5,94.08,124.76,9.43,134.47,627.52,27.9
2025-01-23 23:18:49,5,94.08,124.76,9.43,134.47,627.52,27.9
2025-01-23 23:19:19,5,94.08,124.76,9.43,134.47,627.52,27.9
2025-01-23 23:19:49,5,94.08,124.76,9.43,134.47,627.52,27.9
2025-01-23 23:20:19,5,94.08,124.76,9.43,134.47,627.52,27.9
2025-01-23 23:20:49,5,94.08,124.76,9.43,134.47,627.52,27.9
2025-01-23 23:21:19,5,94.08,124.76,9.43,134.47,627.52,27.9
2025-01-23 23:21:49,5,94.08,124.76,9.43,134.47,627.52,27.9
2025-01-23 23:22:20,5,94.08,124.76,9.43,134.47,627.52,27.9
2025-01-23 23:22:50,5,94.08,124.76,9.43,134.47,627.52,27.9
2025-01-23 23:23:20,5,94.08,124.76,9.43,134.47,627.52,27.9
2025-01-23 23:23:50,5,94.08,124.76,9.43,134.47,627.52,27.9
2025-01-23 23:24:20,5,94.08,124.76,9.43,134.47,627.52,27.9
2025-01-23 23:24:53,5,94.08,124.76,9.43,134.47,627.52,27.9
2025-01-23 23:25:27,5,94.08,124.76,9.43,134.47,627.52,27.9
